Alert,Description,Date
Burned Area Safety Advisory,"The Carr Fire has increased risks to visitors; falling trees, broken and hanging limbs, burned out stump holes, abandoned mine features, and loose rocks remain in much of the burned area. Remember to watch the ground you walk on, as well as above you.",2020-03-23 17:53:00.0
Tule Springs Fossil Beds Currently Remains Open,"As of Monday, March 23, Tule Springs Fossil Beds National Monument is open and operating normally. The NPS Office of Public Health and the US Public Health Service are closely monitoring the situation related to the novel coronavirus outbreak.",2020-03-23 15:24:41.0
COVID-19 (Coronavirus) Information,"To keep the public informed during the ongoing public health incident, NPS has created a webpage with the latest information and updates about COVID-19. It is available by clicking ""more"" below.",2020-03-23 12:46:16.0
Texas White House Closure,A temporary closure of the Texas White House is still in place due to safety concerns arising from structural issues. The LBJ Ranch driving tour is not affected. Click the link for progress updates.,2020-03-17 14:39:53.0
CWDW Public Programs Canceled,"Following guidance from the CDC and recommendations from D.C. Public Health in consultation with NPS Public Health Service officers, the Civil War Defenses of Washington public programs (special events, hikes, lectures) are canceled as of March 16, 2020.",2020-03-17 13:12:29.0
Alternate Phone Number for Reservations,"We are experiencing technical difficulties with our main phone. For information or to make a reservation, please call John Muir NHS at 925-228-8860 x6422.",2020-03-11 13:20:46.0
Closures: Detours; Towpath; Points of Interest,Multiple items are closed due to hazardous conditions or maintenance. See below for more details.,2020-02-15 08:53:01.0
Items Worn or Used in Other Caves Not Allowed,"A disease know as White-Nose Syndrome is killing bats in North America. To prevent it from spreading to our bats, do not wear shoes, clothing, or bring any gear into any cave at Carlsbad Caverns National Park that were in another cave.",2020-02-08 15:16:11.0
"Uber, Lyft, and other ""Taxi"" Services","While Pecos is close to Santa Fe and Las Vegas, services like Uber and Lyft may have limited availability to and from the park. If you are able to take an Uber or Lyft, please make sure you have plans to be picked up before being dropped off at Pecos.",2020-01-08 17:21:40.0
Park Closures,From time to time the missile range that surrounds the park performs missile testing that may require the closure of the park or Highway 70. Please plan your visit around upcoming missile tests.,2019-12-30 13:03:01.0
Bicycle Use In The Monument,Bicycles are ONLY allowed at the following locations: 1 - On the Boca Negra Canyon paved multiuse path; bicycles must remain on the paved bike path. 2 - On the crusher fine trail that winds in and out of the park around the mesa top above Boca Negra.,2019-12-03 14:57:43.0
Water in Campground is Shut Off,The water in the campground has been shut off for the winter due to freezing temperatures. Visitors are encouraged to bring their own supply. Small water containers may also be filled in the visitor center during business hours (9 am - 5 pm).,2019-12-01 11:42:41.0
Yockanookany Trail Section Closed to Equestrians,"The Yockanookany section of the Natchez Trace National Scenic Trail is closed to equestrian use effective immediately, due to safety concerns with trail bridges and boardwalks. The trail will remain open to pedestrians.",2019-10-26 11:08:59.0
Lake Powell Recreational Water Advisory,"Anytime that you do recreational activities (swimming, water skiing, making sand castles, etc.) on the beaches or in the waters of Lake Powell you are strongly encouraged to follow basic hygiene practices.",2019-10-01 12:39:15.0
Burned Area Safety Advisory,"The Woodbury Fire has increased hazards for visitors to Tonto National Monument. Falling trees and cactus, broken limbs, burned stumps, falling rocks/debris, and flooding remain potential hazards in the burned area. Remember to stay in designated areas.",2019-09-23 14:37:28.0
Notice to travelers to National Cemetery,"Due to the narrow roadway & tight turn, RVs, mobile homes, charter buses, delivery trucks, or vehicles with trailers are prohibited from the crest of Monument Hill. Check for information about parking at the Visitor Center upon your arrival.",2019-08-12 15:39:35.0
Cranberry Creek to Locator Lake Trail is closed,The Cranberry Creek to Locator Lake trail is closed until further notice due to beaver damming and flooding which is making the trail impassable. Signs are posted at the trail entrance.,2019-07-31 15:49:14.0
Current Weather Conditions,Use the link below to visit the National Weather Service website for current weather conditions in the park.,2019-07-12 11:04:49.0
Weather Closures,Open areas of the park may be closed on short notice due to concern of possible debris flows during rain events. Smaller scale landslides and flood may occur anywhere within the park during rain events.,2019-05-30 17:58:05.0
No Cell Service or WiFi,"We do not recommend taking a rideshare or taxi to Muir Woods. There is NO cell service or wifi at Muir Woods. When hiring a taxi visitors have the option of negotiating a flat rate, or using the meter. Under some circumstances a flat rate may be cheaper.",2019-05-09 21:21:43.0
Delta-01 Tour Fee and Reservations,All Delta-01 Launch Control Facility Tours require advanced reservations. Reservations can be made up to 90 days in advance on-line or by phone at 605-717-7629. No SAME-DAY tours available during the summer season.,2019-04-08 11:44:30.0
RV and Tractor Trailer Parking at the Visitor Center,There is limited space for parking for recreational vehicles and trailers in the parking lot directly in front (south) of the visitor center. RVs are asked to not park in the lot behind the visitor center. There is no parking space for tractor trailers.,2019-02-05 14:36:01.0
Federal Government Shutdown,"During the federal government shutdown, this website will not be updated and may not reflect current conditions. The tour of the Old Post Office Tower is closed for resource protection and safety.",2018-12-22 11:01:55.0
Drones are Prohibited in Fort Pulaski National Monument,"The use of drones or other remote-controlled unmanned aircraft, is prohibited in the park for issues relating to visitor safety and experience, and wildlife and resource protection. For more info, see section 1.5(a)(1) of the Superintendent's Compendium.",2018-12-20 14:31:34.0
GPS Navigation Systems,"GPS navigation systems often misdirect visitors driving to Ulysses S. Grant National Historic Site. GPS systems often route visitors to our back gate, or to the entrance for Grant's Farm (not affiliated with the NPS). Please visit our directions page.",2018-12-05 18:00:27.0
No Water Available Along Towpath,Water faucets will remain off until mid-April. Please plan accordingly.,2018-12-03 09:55:56.0
General Mosquito Information,"Although there is no known current transmission of dengue, Zika, or chikungunya, American Samoa has had recent outbreaks, and reintroduction is possible. Avoid mosquito bites and report to your doctor if you get sick within two weeks of returning.",2018-11-30 19:00:27.0
Hawk Creek Lane Restriction at Lake Roosevelt National Recreation Area,"Due to undercutting action of Hawk Creek on the access road between the Hawk Creek campground and boat launch, the road will be reduced to one lane until further notice.",2018-11-01 12:41:38.0
Footwear in the Cavern,"For safety, closed-toe shoes with good traction are recommended. Flip flops, sandals, and some walking shoes have little or no traction and increase the possibility of slips, trips, and falls. Watch your step and use the handrails when necessary.",2018-09-19 18:25:10.0
Unmanned Aircraft (Drones) Are Prohibited,"The use of unmanned aircraft, also known as drones, is prohibited within Carlsbad Caverns National Park.",2018-07-11 13:54:39.0
"Attention Visitors, Cab drivers, Uber drivers, and transportation service drivers","DO NOT drop off your passengers at the visitor center. No trail access. Visitors must be driven to a trail system from the visitor center. If passengers want to go to the visitor center, WAIT FOR THEM in the parking lot until they come back out.",2018-05-20 09:04:18.0
Partial Closure of Rocky Springs Trail,The Rocky Springs section is closed from the Rocky Springs campground at milepost 55 to the northern terminus at milepost 59 until further notice. Visitors should observe posted closures. The trail is unsafe due to trail erosion and deteriorated bridges.,2018-05-18 15:26:35.0
"Uber, Lyft, and other ""Taxi"" services","Bandelier is in a remote location, with cell service in the canyon limited to Verizon 4G only. Services like Uber and Lyft will bring you here, but there may be no way to contact a ride out. Please plan your pickup before being dropped off at Bandelier.",2017-12-20 10:40:16.0
All vehicles are required to carry tire chains when traveling in the park.,"All vehicles, including 4WD and AWD vehicles, must carry tire chains in the park during the winter season (November 1 - May 1) and be prepared to use them when tire chain requirements are posted.",2017-11-01 10:52:18.0
