Alert,parkCode,Description,Date,Park Name
Operation Hours Limited,malu,"Most of the park's buildings are opened. COVID-19 protocols are in place in accordance with guidance from the Centers for Disease Control. The park’s operating hours are Monday through Saturday, from 9:00am to 5:00pm.",2022-06-13 14:59:31.0,"Martin Luther King, Jr. National Historical Park"
Temporary Closure - Cutthroat Unit,hove,"Due to physical security concerns related to the access of the Cutthroat Castle Unit, the unit is closed to public access. Cutthroat Castle is a remote unit of Hovenweep and is not connected to the Square Tower Group structures.",2022-06-09 10:53:00.0,Hovenweep National Monument
Sidewalk scaffolding at Federal Hall,feha,"Protective sidewalk scaffolding has been erected around the building to protect the public from falling materials. Later this year, additional scaffolding will be installed while we conduct an in-depth condition assessment of the building façade.",2022-06-09 10:27:55.0,Federal Hall National Memorial
IMMEDIATE ACTION: Updated Mask Guidance,feha,"On Tuesday, July 27, 2021, the Centers for Disease Control and Prevention (CDC) and the Department of the Interior (DOI) updated guidance and requirements that necessitate immediate action from all National Park Service sites and offices.",2021-07-28 13:47:22.0,Federal Hall National Memorial
COVID-19 Mask Requirement,sama,"Consistent with CDC guidance regarding areas of low and medium transmission, masks are optional inside all park buildings.",2022-06-03 10:37:41.0,Salem Maritime National Historic Site
Fence Replacement,sama,There is ongoing construction to the fence between the Colonial Revival Garden and the rear of the Hawkes House. Please use caution when in the area.,2021-08-05 16:06:17.0,Salem Maritime National Historic Site
COVID-19 Mask Requirement,sair,"Consistent with CDC guidance regarding areas of low and medium transmission, masks are optional inside all park buildings.",2022-06-03 10:35:03.0,Saugus Iron Works National Historic Site
COVID Guidance,mabi,"Masks are required for everyone indoors, regardless of vaccination status, when CDC community levels are high. Masks are recommended, but optional indoors when levels are medium or low.",2022-05-27 11:33:12.0,Marsh - Billings - Rockefeller National Historical Park
COVID Guidance,saga,"Masks are required for everyone indoors, regardless of vaccination status when CDC community levels are high. Masks are recommended, but optional indoors when levels are medium or low.",2022-05-27 11:29:33.0,Saint-Gaudens National Historical Park
Equestrian Impacts from Fence Construction - Floyd Lamb Park to Iron Mountain & N. Torrey Pines,tusk,"The new fence will have a series of horse gates that will allow equestrians to access and exit the Monument. Equestrians who utilize the horse trails until February 2023 may encounter construction equipment, noise and dust.",2022-05-17 16:50:07.0,Tule Springs Fossil Beds National Monument
Tule Springs Fossil Beds Currently Remains Open,tusk,"As of Monday, March 23, Tule Springs Fossil Beds National Monument is open and operating normally. The NPS Office of Public Health and the US Public Health Service are closely monitoring the situation related to the novel coronavirus outbreak.",2020-03-23 15:24:41.0,Tule Springs Fossil Beds National Monument
COVID-19 Community Levels: Medium/Low,long,"Based on current, CDC-reported COVID-19 Community Levels in Middlesex County, masks are optional inside buildings. People may choose to wear a mask. People with symptoms, a positive test, or exposure to someone with COVID-19 should wear a mask.",2022-05-10 13:37:45.0,Longfellow House Washington's Headquarters National Historic Site
Reservations No Longer Needed for House Tours,mawa,"We are no longer taking reservations for house tours unless you have a group of 10 or more people. Daily tours will be offered on a first-come, first-served basis with a max of 10 people / tour.",2022-04-26 09:18:14.0,Maggie L Walker National Historic Site
Partially Reopened,hatu,Harriet Tubman National Historical Park is partially reopened. Our adjusted hours of operations are Tuesday through Sunday from 10am to 4pm (EST).,2022-04-19 15:08:47.0,Harriet Tubman Underground Railroad National Historical Park
Wildlife Viewing Guidelines,sajh,"San Juan Island National Historical Park provides habitat for many species of animals. When you visit the park, you are visiting their home. Do not approach any wildlife within 75 ft (two school bus lengths).",2022-04-13 14:23:51.0,San Juan Island National Historical Park
Closure of Old Fort: Monday through Wednesday,fowa,"The old fort will be closed on Mondays, Tuesdays, and Wednesdays. Park Grounds - Open: 7:00 a.m. to sunset daily",2022-04-12 17:17:02.0,Fort Washington Park
Rattlesnakes are Present Throughout the Location,amch,Rattlesnakes are present. Please stay on maintained surfaces. Avoid stepping in areas where you can’t see your foot placement. Not all rattlesnakes will forewarn with a rattle. Please do not harm snakes as they are an important part of the ecosystem.,2022-03-28 14:38:57.0,Amache National Historic Site
Park in Progress,amch,"Amache NHS is working toward establishment and is not yet an official park. Visitor services are limited. For more information on how to visit, please visit our FAQ page.",2022-03-28 14:37:24.0,Amache National Historic Site
Freedom Trail Sites - COVID 19 Response,bost,Some partner sites on the Freedom Trail may have COVID protocols in place. Visit our Know Before You Go page for details.,2022-03-22 09:04:48.0,Boston National Historical Park
COVID-19 Mask Requirements,manz,"Manzanar National Historic Site is located in Inyo County, CA. Check the CDC's COVID-19 Community Level tool to learn of masking and safety requirements for your visit.",2022-03-21 18:30:03.0,Manzanar National Historic Site
COVID-19 Mask Requirement,bica,Mask requirements vary from park to park and are dependent upon local public health status.,2022-03-11 17:10:21.0,Bighorn Canyon National Recreation Area
COVID-19 Protocols,gegr,"Consistent with CDC guidance, masks are now optional inside General Grant National Memorial. There is still a capacity limit of 10 visitors at a time allowed inside the mausoleum.",2022-03-11 15:23:43.0,General Grant National Memorial
General Grant National Memorial Virtual Tours,gegr,"Because the Visitor Center is closed until further notice; we are offering educational programming on our website and social media platforms, in addition to information on our outdoor exhibits.",2022-02-25 13:33:22.0,General Grant National Memorial
Phased reopening – some locations closed due to COVID-19 ,gegr,"Currently the Park Visitor Center is still closed, and the Mausoleum is operating under reduced hours.",2022-02-25 13:30:45.0,General Grant National Memorial
Mask Status at Fort Larned,fols,"Our mask status is based the CDC's COVID-19 Community Level tool and can change from week to week. If you'd like to know the mask status before your visit, you can call the Visitor Center at 620-285-6911 to find out.",2022-03-09 17:15:33.0,Fort Larned National Historic Site
Visitor Center Open 7 days a week from 8:30am-4pm,kaho,Park Visitor Center open 7 days a week from 830-4pm. All Trails are open. Kaloko road open from 8am-5pm. Call (808) 326-9057 for info or to contact the Hawai'i Pacific Parks Association Bookstore.,2022-03-08 19:46:16.0,Kaloko-Honokōhau National Historical Park
Masks are Optional in the White House Visitor Center,whho,"Consistent with CDC guidance regarding areas of low transmission (Washington, DC is currently low), the wearing of masks in the White House Visitor Center is optional.",2022-03-07 14:38:58.0,President's Park (White House)
COVID-19 Mask Requirement,fosm,"Mask requirements vary by park based on local COVID-19 levels. In high risk areas, masks are required in all NPS buildings. In areas of low and medium risk, masks are optional but visitors should follow signage and instructions from park staff.",2022-03-07 08:52:12.0,Fort Smith National Historic Site
COVID-19 Mask Requirement,fodo,"Based on updated CDC guidance regarding local COVID-19 transmission risk, masks are currently optional in Fort Donelson NB facilities. Park employees are monitoring transmission risk, and will update this guidance as appropriate.",2022-03-05 10:31:03.0,Fort Donelson National Battlefield
The county road through the Ft. Heiman Unit is closed to all vehicular traffic past the pavilion,fodo,"Due to storm damage and erosion, the county roads of the Fort Heiman loop are closed to vehicles until further notice.",2022-02-03 07:52:24.0,Fort Donelson National Battlefield
Fort Donelson Visitor Center and Dover Hotel Exhibit Hours,fodo,"The Fort Donelson Visitor Center and the Dover Hotel are open daily, 9:00 am - 4:00 pm. Each facility is limited to a reduced capacity at this time.",2021-05-25 10:20:21.0,Fort Donelson National Battlefield
Masks Optional Indoors,stri,"Based on current CDC COVID Community Levels, the wearing of masks in the park visitor center is optional.",2022-03-04 18:03:13.0,Stones River National Battlefield
COVID-19 Mask Requirement,wicl,We are currently at a “Low” community level and not requiring indoor masks. The NPS has updated its masking guidance. Masking requirements will vary by park based on local conditions.,2022-03-04 13:40:29.0,President William Jefferson Clinton Birthplace Home National Historic Site
Fee Stations Credit Card Only,casa,Fee Stations are only accepting credit cards for the purchase of entry tickets and passes.,2022-02-28 09:58:39.0,Castillo de San Marcos National Monument
Stamp Status,colt,"Unfortunately, since we are not an official park yet, we do not currently have a park stamp.",2022-02-22 11:20:22.0,Coltsville National Historical Park
Park in Progress,colt,Coltsville NHP is working toward establishment and is not yet an official park. We do not have a Visitor Center and visitor services are limited. For more information please visit our Park Development and Calendar pages.,2021-06-17 12:01:16.0,Coltsville National Historical Park
Passaic River Trail Bridge washed out,morr,"Tropical Storm Ida washed out the Passaic River bridge on the Patriot's Path Trail south of Tempe Wick Road. This area is a known habitat of the endangered wood turtle, so do not wade, walk, or let your dog run in the river at this location.",2021-12-18 11:26:00.0,Morristown National Historical Park
